Rank,College_Name,Academic_Reputation ,Employer_Reputation ,Faculty_Student,Faculty_Citation,International_Faculty,International_Students,Overall_Score
1,Massachusetts Institute of Technology (MIT),100,100,100,99.8,100,94.1,100
2,Stanford University,100,100,100,98.6,99.8,67.7,98.4
3,Harvard University,100,100,98.7,99.6,86.3,62.2,97.4
4,University of Oxford,100,100,100,84.7,99.7,98.5,97.2
5,California Institute of Technology (Caltech),97.8,81.2,100,100,99.4,87.3,96.9
6,ETH Zurich (Swiss Federal Institute of Technology),98.4,96.7,85,98.4,100,98,95.9
7,University of Cambridge,100,100,100,74.2,100,97.6,95
8,UCL (University College London),99.3,98.7,98.1,76.7,99.1,100,94.8
9,Imperial College London,98.6,99.9,99.8,72.1,100,100,94.1
10,University of Chicago,99.5,93.7,96.5,78.5,70.2,81,92
11,Nanyang Technological University (NTU),92.1,93.8,93.9,88.8,100,74.2,91.8
11,National University of Singapore (NUS),99.8,99.2,88.3,75.7,100,76.4,91.8
13,Princeton University,99.9,98.6,70.7,100,64.9,67.6,90.9
14,Cornell University,98.7,90.4,65.7,95.1,93.8,72.3,89.3
15,University of Pennsylvania,95.8,93.7,100,67.6,84,63.6,88.9
16,Tsinghua University,97.4,99.1,92.4,80.4,68,30.1,88.6
17,Yale University,99.9,99.9,100,53.5,78.1,57.4,87.7
18,Columbia University,99.7,97.6,100,53,40.1,96.9,87.4
18,Ecole Polytechnique Federale de Lausanne (EPFL),75.6,77.6,96.6,98.9,100,100,87.4
20,University of Edinburgh,97.5,93.7,85.6,53,98,98.6,86.2
21,University of Michigan,98.9,94.4,91,61.6,79.7,44.1,86
22,Peking University,99.1,99.6,72.3,73,70.7,36.9,84.3
22,The University of Tokyo,100,99.1,93.3,67.9,11.1,26.2,84.3
24,Johns Hopkins University,88.3,52.6,100,77.6,68.8,81.5,83.9
25,Duke University,89,84.2,99.4,80.3,12.4,59.3,83.8
25,University of Hong Kong (HKU),97.3,82.6,87.2,44.5,100,99.1,83.8
27,The University of Manchester,94.9,97.7,74.1,51.5,92.6,98.6,82.7
28,"University of California, Berkeley (UCB)",100,99.9,30.9,97.7,92.4,39.7,82.6
29,Australian National University (ANU),96.9,81.3,37.5,87.4,100,99.8,82.1
29,University of Toronto,98.9,96.3,71.5,43.9,97.7,93,82.1
31,Northwestern University,85.9,80.2,100,62.8,76.1,49,81.5
32,The Hong Kong University of Science and Technology (HKUST),85,71.3,59.5,89.5,100,87.5,80.6
33,King's College London (KCL),88.5,80.4,82.3,52,98.5,99.8,80.5
33,Kyoto University,98.7,92.5,96.3,53.2,15.4,17.5,80.5
35,McGill University,92.2,93.8,63.3,58.4,93.7,96.2,80.4
35,"University of California, Los Angeles (UCLA)",100,99.7,40.6,88.3,50.4,38.2,80.4
37,Seoul National University (SNU),96.9,91.1,88,61.6,19.2,11.9,79.6
38,The University of Melbourne,99.2,98.1,24.1,75,97.6,100,79.5
39,New York University (NYU),95.9,95.6,97.6,24,33.5,93.4,78.8
40,Fudan University,83.4,93.8,86.5,57.8,92.7,42.9,78.6
41,KAIST - Korea Advanced Institute of Science and Technology,85,74.5,73.9,98.1,25.8,10.1,77.9
42,The University of Sydney,97.5,96.4,23.6,70.9,100,100,77.8
43,The University of New South Wales (UNSW),91.2,95.7,19.8,84.5,100,98.5,77.1
44,London School of Economics and Political Science (LSE),78.9,99.7,34.8,91.1,100,100,77
45,"University of California, San Diego (UCSD)",92.2,51.8,60.3,78.4,60.8,70.3,76.6
46,The Chinese University of Hong Kong (CUHK),87.9,61.5,67.7,56.2,100,91.7,75.9
47,The University of Queensland (UQ),88.5,82.2,27.7,81.8,100,99.5,75.7
48,Carnegie Mellon University,75.2,77.5,43.5,94.3,83.6,99.9,74.8
49,University of Bristol,76.6,84.2,72.8,61.8,89.4,75.6,74.5
50,Delft University of Technology,71.2,88.2,46.4,90,99.3,87.8,74.2
51,University of British Columbia,97,89,46,42.2,90.8,79.3,74.1
52,City University of Hong Kong,59,41.3,89.7,89.4,100,95.3,73.6
53,Universit PSL (Paris Sciences & Lettres),77.7,98.6,100,26.2,67.1,72.1,73.4
54,Zhejiang University,67.7,86.5,78.6,63.9,95.4,62.9,72.4
55,Technische University Mnchen,80.2,99,89.1,26.9,60.6,76.8,72.3
56,University of Wisconsin-Madison,87.8,49.7,85.5,50,57.2,30.9,71.8
57,Brown University,61.9,58.2,81.1,86.6,86,56,71.5
58,Monash University,88,91.9,17.1,64.2,100,99.9,70.9
58,Tokyo Institute of Technology,74.5,82.7,86.2,61.3,30.7,31.3,70.9
60,Ecole Polytechnique,43.8,99.3,99.6,66.3,95.2,97.9,70.5
60,Shanghai Jiao Tong University,79.6,93.6,53.7,65.5,84.1,20.1,70.5
62,The University of Warwick,74.4,94.1,55.3,50.3,97.8,99.1,70.4
63,Ludwig-Maximilians-University Mnchen,91.1,83.2,52.6,45.7,61.5,37.7,69.6
64,University of Amsterdam,81.1,56,44.8,75.9,79.5,52.5,69
65,University of Texas at Austin,94.2,83.3,12.1,93.4,6.9,18.6,68.6
66,Ruprecht-Karls-University Heidelberg,80,50.6,96.7,34.8,52.8,44.2,68.4
67,University of Glasgow,72.2,58.9,63.7,55,93.7,96.5,68.2
68,University of Washington,86.1,51.4,17.4,99.2,55.8,40.5,67.9
69,National Taiwan University (NTU),89.8,82.4,41.9,59.7,20.8,30.4,67.3
70,Universiti Malaya (UM),68.2,72,90.7,41.5,62.8,57.2,67.1
71,Osaka University,80.8,67.5,80.3,46.2,23.1,14.3,66.5
72,Georgia Institute of Technology (Georgia Tech),71.1,81.7,15.1,100,60.4,65.8,66.2
74,Universidad de Buenos Aires,87.2,91.3,77.4,2.4,50.7,64.7,66
75,University of Illinois at Urbana-Champaign,89,58.1,13.5,86.3,19.3,67.2,65.9
76,University of Zurich,58.6,64.5,99.7,38.7,100,59.4,65.8
77,Sorbonne University,89.2,45.9,59.7,36.2,47.8,56.5,64.9
78,Durham University,57.3,91.2,35.9,77.9,97.2,87.2,64.2
78,The University of Sheffield,61.3,58.7,61,61.4,87.9,94.1,64.2
80,Katholieke Universiteit Leuven,79.1,64.3,11.8,85.3,90,37.5,64.1
81,University of Birmingham,65.6,78.8,54.8,49.3,91.8,85.7,64
81,University of Copenhagen,70.1,43.9,100,25.5,92.6,29.4,63.8
82,Tohoku University,69.5,59.1,98.2,43.1,12.7,17.6,63.7
83,Korea University,70,85,83.1,35.4,15.2,44.7,63.4
83,The University of Auckland,84.2,62.8,25,44.8,94.4,91.8,63.4
84,Lomonosov Moscow State University,73.6,84.9,99.7,7.2,18,56.1,63.2
85,Rice University,40.1,22.7,84,93.6,89.8,90.6,63.1
86,The University of Western Australia (UWA),62.4,59.8,20.8,88.3,100,98.7,62.9
87,Pohang University of Science and Technology (POSTECH),41.3,40.8,99.9,99.3,35.3,3.6,62.6
89,University of Science and Technology of China,56.2,26.1,81.1,98.5,16.9,5.7,62.3
90,"University of North Carolina, Chapel Hill",68.7,53.3,88.3,46,35.6,11.3,62.2
