row,Factor1,Factor2,Factor3
經度,-0.026204964753517163,-0.01619718024660533,-0.011207546806233704
緯度,0.015327132378306288,0.008695427285849423,0.049486150552115006
里程km,-0.28474631784544113,-0.06591565384534681,-0.11997239048646301
路肩寬度,0.11798423140060627,0.19506098061339544,-0.03288585511184875
小型車數,0.9874591374188321,0.14282799069306076,-0.012525257421927755
大客車數,0.6258950942785851,-0.09464608889674792,0.3774202344261364
大貨車數,0.7259888740641435,0.5200014740428384,-0.12256851167096862
全聯結車數,0.14842879740556847,0.8068704216537493,-0.024614757542987847
半聯結車數,0.12387316585832357,0.9889245174370992,0.0027341408467754843
機車數,0.4029219525818706,-0.25053685055644825,0.8774838614214902
總流量PCU,0.9412162544544036,0.2155864719657324,0.2534042834961542
總計車公里,0.5361595769534778,0.059491655913537174,0.3148165349907913
尖峰小時交通量PCU,0.8769388863001157,0.18862423895679134,0.3335794101276149
快車道數量,0.48132008091135303,0.09007876321415566,0.15136431518208399
機慢車道數量,0.059544583941717626,-0.20039894028548239,0.2641640335047781
width,0.37811412893562346,0.1153972380300015,0.2255309389527183
