"","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"X4",1,-0.343,-0.155,-0.295,-0.205,-0.228,-0.09,-0.102,-0.206,-0.306,0.155,-0.291,-0.341,-0.096
"X5",-0.343,1,0.39,0.437,0.363,0.364,0.155,0.156,0.331,0.484,0.321,0.502,0.802,0.396
"X6",-0.155,0.39,1,0.148,0.03,0.21,0.217,0.207,-0.029,0.14,0.034,0.127,0.149,-0.076
"X7",-0.295,0.437,0.148,1,0.597,0.788,0.26,0.263,0.351,0.958,0.53,0.887,0.485,0.022
"X8",-0.205,0.363,0.03,0.597,1,0.343,-0.004,-0.016,0.606,0.669,0.409,0.64,0.374,0.099
"X9",-0.228,0.364,0.21,0.788,0.343,1,0.572,0.602,0.053,0.77,0.391,0.702,0.387,-0.129
"X10",-0.09,0.155,0.217,0.26,-0.004,0.572,1,0.815,-0.164,0.31,0.122,0.263,0.147,-0.164
"X11",-0.102,0.156,0.207,0.263,-0.016,0.602,0.815,1,-0.196,0.331,0.125,0.296,0.148,-0.192
"X12",-0.206,0.331,-0.029,0.351,0.606,0.053,-0.164,-0.196,1,0.548,0.476,0.598,0.303,0.303
"X13",-0.306,0.484,0.14,0.958,0.669,0.77,0.31,0.331,0.548,1,0.601,0.953,0.509,0.085
"X14",0.155,0.321,0.034,0.53,0.409,0.391,0.122,0.125,0.476,0.601,1,0.633,0.279,0.189
"X15",-0.291,0.502,0.127,0.887,0.64,0.702,0.263,0.296,0.598,0.953,0.633,1,0.516,0.128
"X16",-0.341,0.802,0.149,0.485,0.374,0.387,0.147,0.148,0.303,0.509,0.279,0.516,1,0.076
"X17",-0.096,0.396,-0.076,0.022,0.099,-0.129,-0.164,-0.192,0.303,0.085,0.189,0.128,0.076,1
