"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"X4",-0.311,-0.083,-0.356,0.153,0.406,0.106,-0.147,0.113,-0.015,-0.668,0.046,0.098,-0.276,-0.026
"X5",0.272,-0.054,0.489,-0.119,0.331,0.092,0.03,0.194,0.059,-0.406,-0.198,-0.364,0.416,0.02
"X6",0.012,0.244,0.469,0.662,-0.2,0.404,0.029,0.058,-0.015,-0.075,0.073,0.141,-0.211,-0.007
"X7",0.367,0.09,-0.142,0.062,-0.023,0.049,-0.417,-0.111,-0.143,0.001,0.352,-0.399,-0.086,-0.577
"X8",0.328,-0.175,-0.123,0.202,-0.207,-0.389,0.001,0.768,0.037,-0.029,-0.005,0.115,-0.077,-0.02
"X9",0.272,0.341,-0.136,-0.067,0.015,0.088,-0.357,-0.043,0.021,0.024,-0.766,0.183,-0.161,-0.049
"X10",0.024,0.488,-0.052,-0.281,-0.109,0.031,0.343,0.173,-0.691,-0.186,0.078,0.038,-0.008,-0.008
"X11",0.034,0.49,-0.062,-0.272,-0.077,0.047,0.279,0.114,0.696,-0.123,0.175,-0.075,-0.181,-0.119
"X12",0.258,-0.344,-0.06,0.098,-0.261,-0.109,0.534,-0.377,-0.014,-0.3,-0.273,-0.116,-0.258,-0.222
"X13",0.376,0.055,-0.148,0.024,-0.103,0.017,-0.146,-0.158,-0.011,-0.123,0.182,-0.288,-0.215,0.773
"X14",0.25,-0.164,-0.38,0.068,0.303,0.631,0.334,0.204,-0.004,0.334,-0.024,-0.045,0.058,0.004
"X15",0.379,0.013,-0.139,0.013,-0.084,0.059,-0.045,-0.236,0.091,-0.266,0.247,0.628,0.484,-0.013
"X16",0.31,0.003,0.316,-0.092,0.596,-0.258,0.106,-0.107,-0.061,0.184,0.173,0.309,-0.433,-0.022
"X17",0.019,-0.387,0.254,-0.547,-0.303,0.414,-0.219,0.154,-0.021,-0.102,0.082,0.193,-0.31,-0.026
