"","縣市別","調查站_編號","調查站_地點","調查站_樁號_K","調查站_樁號_百位數","調查站_座標_經度","調查站_座標_緯度","路線編號","起迄地名_起點","起迄地名_迄點","起點樁號_K","起點樁號_百位數","迄點樁號_K","迄點樁號_百位數","地形","里程(公里)","路面寬度(公尺)","方向(往)","車道佈設_快車道寬度(公尺)_1","車道佈設_快車道寬度(公尺)_2","車道佈設_快車道寬度(公尺)_3","車道佈設_快車道寬度(公尺)_4","車道佈設_快車道寬度(公尺)_5","車道佈設_機慢車道寬度(公尺)_1","車道佈設_機慢車道寬度(公尺)_2","車道佈設_路肩寬度(公尺)","各車種車輛數(輛/日)_小型車","各車種車輛數(輛/日)_大客車","各車種車輛數(輛/日)_大貨車","各車種車輛數(輛/日)_全聯結車","各車種車輛數(輛/日)_半聯結車","各車種車輛數(輛/日)_機車","各車種車輛數(輛/日)_合計","總計_流量(PCU)","總計_車公里","尖峰小時_交通量(PCU)","尖峰小時_時段_起","尖峰小時_時段_迄","方向係數","備註"
"1","雲林縣","V-01","西螺",229,500,"E120.47163","N23.79468","台1線","溪州大橋南端","莿桐",227,963,233,100,"平原區",5.1,21,"北",3.5,3.5,NA,NA,NA,2.5,NA,1,3305,14,267,14,131,598,4329,4581,22078,520,17,18,0.53,"日"
"2","雲林縣","V-01","西螺",229,500,"E120.47163","N23.79468","台1線","溪州大橋南端","莿桐",227,963,233,100,"平原區",5.1,21,"南",3.5,3.5,NA,NA,NA,2.5,NA,1,3074,21,272,10,157,658,4192,4476,21379,464,7,8,0.53,"日"
"3","雲林縣","V-02","新虎尾溪橋",234,200,"E120.496968","N23.750205","台1線","莿桐","惠來厝",233,100,236,400,"平原區",3.3,21.8,"北",3.7,3.7,NA,NA,NA,3,NA,0.5,3653,15,148,1,103,1650,5570,5365,18381,716,17,18,0.52,"日"
"4","雲林縣","V-02","新虎尾溪橋",234,200,"E120.496968","N23.750205","台1線","莿桐","惠來厝",233,100,236,400,"平原區",3.3,21.8,"南",3.7,3.7,NA,NA,NA,3,NA,0.5,3270,18,159,2,135,1867,5451,5254,17988,659,7,8,0.52,"日"
"5","雲林縣","V-03","虎尾溪橋",239,0,"E120.483807","N23.709371","台1線","惠來厝","北勢子",236,400,240,900,"平原區",4.5,20.2,"北",3.7,3.7,NA,NA,NA,2.2,NA,0.5,3935,26,193,2,155,1387,5698,5706,25641,684,7,8,0.51,"四"
"6","雲林縣","V-03","虎尾溪橋",239,0,"E120.483807","N23.709371","台1線","惠來厝","北勢子",236,400,240,900,"平原區",4.5,20.2,"南",3.7,3.7,NA,NA,NA,2.2,NA,0.5,4237,18,154,1,122,1328,5860,5794,26370,652,17,18,0.51,"四"
"7","雲林縣","V-04","石牛溪橋",241,500,"E120.480632","N23.685332","台1線","北勢子","斗南",240,900,245,300,"平原區",4.4,26.2,"北",3.5,3.5,3.5,NA,NA,2.2,NA,0.4,11374,85,175,2,73,5825,17534,16068,77150,1782,17,18,0.53,"四"
"8","雲林縣","V-04","石牛溪橋",241,500,"E120.480632","N23.685332","台1線","北勢子","斗南",240,900,245,300,"平原區",4.4,26.2,"南",3.5,3.5,3.5,NA,NA,2.2,NA,0.4,11580,75,221,2,65,5806,17749,16290,78096,1606,7,8,0.53,"四"
"9","雲林縣","V-05","豐田工業區",247,500,"E120.471297","N23.648533","台1線","斗南","雲嘉縣界",245,300,248,411,"平原區",3.1,22.6,"北",3.7,3.7,NA,NA,NA,2.4,NA,1.5,6618,65,285,6,143,2279,9396,9186,29128,847,17,18,0.51,"四"
"10","雲林縣","V-05","豐田工業區",247,500,"E120.471297","N23.648533","台1線","斗南","雲嘉縣界",245,300,248,411,"平原區",3.1,22.6,"南",3.7,3.7,NA,NA,NA,2.4,NA,1.5,6602,52,200,3,134,2825,9816,9369,30430,882,17,18,0.51,"四"
