縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,東,3.5,3.5,,,,-,,1.2,"2,704",26,189,41,"1,053",406,"4,419","8,848","63,192",711,16,17,0.51 ,,,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,西,3.5,3.5,,,,-,,1.2,"2,860",29,151,41,673,428,"4,182","7,047","59,803",587,14,15,0.51 ,,,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,000,平原區,6.2,16.0,東,3.5,3.5,,,,-,,1,"5,492",16,304,52,"1,294","1,645","8,803","10,997","54,579","1,043",14,15,0.53 ,,,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,000,平原區,6.2,16.0,西,3.5,3.5,,,,-,,1,"6,905",91,238,50,"1,036","1,620","9,940","11,629","61,628","1,060",15,16,0.53 ,,,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,金馬橋,東港,137,000,156,059,平原區,12.5,15.8,東,3.6,,,,,2.5,,1.8,"1,980",20,205,7,400,771,"3,383","4,037","64,277",555,7,8,0.51 ,,,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,金馬橋,東港,137,000,156,059,平原區,12.5,15.8,西,3.6,,,,,2.5,,1.8,"1,999",14,169,7,389,715,"3,293","3,911","62,567",468,15,16,0.51 ,,,
宜蘭縣,IV-04,港務大樓,166,300,E121.85409,N24.61105,台2線,東港,尤光里,156,059,167,405,平原區,6.4,20.2,東,3.8,3.4,,,,2.5,,0.4,"4,699",38,140,7,314,"1,478","6,676","6,964","75,439",719,7,8,0.52 ,,,
宜蘭縣,IV-04,港務大樓,166,300,E121.85409,N24.61105,台2線,東港,尤光里,156,059,167,405,平原區,6.4,20.2,西,3.8,3.4,,,,2.5,,0.4,"5,090",31,221,7,397,"1,401","7,147","7,662","80,761",769,17,18,0.52 ,,,
宜蘭縣,IV-05,蘇澳運動公園,9,000,E121.83519,N24.59854,台2戊線,隘丁,蘇澳市區,7,005,10,978,平原區,5.0,15.0,東,3.5,3.5,,,,-,,0.5,"3,151",21,57,0,116,"1,634","4,979","4,597","19,916",400,17,18,0.54 ,,,
宜蘭縣,IV-05,蘇澳運動公園,9,000,E121.83519,N24.59854,台2戊線,隘丁,蘇澳市區,7,005,10,978,平原區,5.0,15.0,西,3.5,3.5,,,,-,,0.5,"4,046",26,57,0,80,"1,675","5,884","5,416","23,536",512,17,18,0.54 ,,,
宜蘭縣,IV-06,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.4,18.2,東,3.5,4.0,,,,-,,1.6,"8,556",65,179,14,720,"1,795","11,329","12,202","16,994","1,345",13,14,0.52 ,,,
宜蘭縣,IV-06,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.4,18.2,西,3.5,4.0,,,,-,,1.6,"7,861",54,199,12,745,"1,561","10,432","11,449","15,648","1,282",15,16,0.52 ,,,
宜蘭縣,IV-07,池端,72,100,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.8,7.8,北,3.6,,,,,　,,0.3,88,0,1,0,0,3,92,140,"1,914",24,12,13,0.55 ,,,
宜蘭縣,IV-07,池端,72,100,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.8,7.8,南,3.6,,,,,　,,0.3,93,2,0,0,0,16,111,166,"2,309",26,12,13,0.55 ,,,
