縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
苗栗縣,Ⅱ-01,頂大埔,89,600,120.9196321,24.71589619,台1線,竹苗縣界,頭份,89,547,92,0,平原區,2.5,23.6,北,3.7,4,,,,2,,1,6147,140,333,3,98,2459,9180,8881,22950,1168,17,18,0.54,
苗栗縣,Ⅱ-01,頂大埔,89,600,120.9196321,24.71589619,台1線,竹苗縣界,頭份,89,547,92,0,平原區,2.5,23.6,南,3.7,4,,,,2,,1,6211,125,350,2,93,2469,9250,8937,23125,1362,8,9,0.54,
苗栗縣,Ⅱ-02,頭份,93,400,120.9108576,24.68921535,台1線,頭份,尖山,92,0,96,139,平原區,4.1,22.4,北,4.2,3.3,,,,,,3.1,10949,128,471,13,125,2072,13758,13505,56408,1102,8,9,0.52,
苗栗縣,Ⅱ-02,頭份,93,400,120.9108576,24.68921535,台1線,頭份,尖山,92,0,96,139,平原區,4.1,22.4,南,4.2,3.3,,,,,,3.1,10509,123,385,3,121,3057,14198,13478,58212,1211,18,19,0.52,
苗栗縣,Ⅱ-03,尖山大橋,98,0,120.882506,24.66671428,台1線,尖山,談文,96,139,99,0,平原區,2.9,23.2,北,3.7,3.9,,,,2.1,,2,7949,80,336,1,57,5571,13994,12647,40583,1472,7,8,0.74,
苗栗縣,Ⅱ-03,尖山大橋,98,0,120.882506,24.66671428,台1線,尖山,談文,96,139,99,0,平原區,2.9,23.2,南,3.7,3.9,,,,2.1,,1.8,3686,48,276,0,61,461,4532,4678,13143,515,7,8,0.74,
苗栗縣,Ⅱ-04,公館仔橋,99,200,120.8755678,24.66031715,台1線,談文,造橋,99,0,102,29,平原區,3,25.7,北,3.6,3.6,,,,2,,2.4,3274,120,309,1,84,1580,5368,5279,16104,563,17,18,0.5,
苗栗縣,Ⅱ-04,公館仔橋,99,200,120.8755678,24.66031715,台1線,談文,造橋,99,0,102,29,平原區,3,25.7,南,3.6,3.6,,,,2,,2.4,3375,111,331,0,106,1494,5417,5403,16251,571,7,8,0.5,
苗栗縣,Ⅱ-05,龍昇陸橋,105,300,120.8295627,24.64338977,台1線,造橋,後龍,102,29,107,581,丘陵區,5.6,23.4,北,3.9,4,,,,2,,1.3,1776,49,100,2,51,645,2623,2791,14689,253,18,19,0.56,
苗栗縣,Ⅱ-05,龍昇陸橋,105,300,120.8295627,24.64338977,台1線,造橋,後龍,102,29,107,581,丘陵區,5.6,23.4,南,3.9,4,,,,2,,1.3,1784,69,110,1,86,622,2672,3012,14963,323,17,18,0.56,
