縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
雲林縣,V-01,西螺,229,500,E120.47163,N23.79468,台1線,溪州大橋南端,莿桐,227,963,233,100,平原區,5.10,21.0,北,3.5,3.5,,,,2.5,,1.0,"3,305",14,267,14,131,598,"4,329","4,581","22,078",520,17,18,0.53 ,日
雲林縣,V-01,西螺,229,500,E120.47163,N23.79468,台1線,溪州大橋南端,莿桐,227,963,233,100,平原區,5.10,21.0,南,3.5,3.5,,,,2.5,,1.0,"3,074",21,272,10,157,658,"4,192","4,476","21,379",464,7,8,0.53 ,日
雲林縣,V-02,新虎尾溪橋,234,200,E120.496968,N23.750205,台1線,莿桐,惠來厝,233,100,236,400,平原區,3.30,21.8,北,3.7,3.7,,,,3.0,,0.5,"3,653",15,148,1,103,"1,650","5,570","5,365","18,381",716,17,18,0.52 ,日
雲林縣,V-02,新虎尾溪橋,234,200,E120.496968,N23.750205,台1線,莿桐,惠來厝,233,100,236,400,平原區,3.30,21.8,南,3.7,3.7,,,,3.0,,0.5,"3,270",18,159,2,135,"1,867","5,451","5,254","17,988",659,7,8,0.52 ,日
雲林縣,V-03,虎尾溪橋,239,0,E120.483807,N23.709371,台1線,惠來厝,北勢子,236,400,240,900,平原區,4.50,20.2,北,3.7,3.7,,,,2.2,,0.5,"3,935",26,193,2,155,"1,387","5,698","5,706","25,641",684,7,8,0.51 ,四
雲林縣,V-03,虎尾溪橋,239,0,E120.483807,N23.709371,台1線,惠來厝,北勢子,236,400,240,900,平原區,4.50,20.2,南,3.7,3.7,,,,2.2,,0.5,"4,237",18,154,1,122,"1,328","5,860","5,794","26,370",652,17,18,0.51 ,四
雲林縣,V-04,石牛溪橋,241,500,E120.480632,N23.685332,台1線,北勢子,斗南,240,900,245,300,平原區,4.40,26.2,北,3.5,3.5,3.5,,,2.2,,0.4,"11,374",85,175,2,73,"5,825","17,534","16,068","77,150","1,782",17,18,0.53 ,四
雲林縣,V-04,石牛溪橋,241,500,E120.480632,N23.685332,台1線,北勢子,斗南,240,900,245,300,平原區,4.40,26.2,南,3.5,3.5,3.5,,,2.2,,0.4,"11,580",75,221,2,65,"5,806","17,749","16,290","78,096","1,606",7,8,0.53 ,四
雲林縣,V-05,豐田工業區,247,500,E120.471297,N23.648533,台1線,斗南,雲嘉縣界,245,300,248,411,平原區,3.10,22.6,北,3.7,3.7,,,,2.4,,1.5,"6,618",65,285,6,143,"2,279","9,396","9,186","29,128",847,17,18,0.51 ,四
雲林縣,V-05,豐田工業區,247,500,E120.471297,N23.648533,台1線,斗南,雲嘉縣界,245,300,248,411,平原區,3.10,22.6,南,3.7,3.7,,,,2.4,,1.5,"6,602",52,200,3,134,"2,825","9,816","9,369","30,430",882,17,18,0.51 ,四
嘉義縣,V-06,三疊溪橋,253,300,E120.44403,N23.59072,台1線,雲嘉縣界,民雄,248,411,257,386,平原區,9.00,20.8,北,3.7,3.7,,,,2.0,,1.0,"5,594",68,131,1,40,"3,772","9,606","8,656","86,454","1,012",17,18,0.60 ,四
嘉義縣,V-06,三疊溪橋,253,300,E120.44403,N23.59072,台1線,雲嘉縣界,民雄,248,411,257,386,平原區,9.00,20.8,南,3.7,3.7,,,,2.0,,1.0,"6,578",98,389,30,136,"3,610","10,841","10,334","97,569","1,521",15,16,0.60 ,四
嘉義縣,V-07,吳鳳工專,260,0,E120.43619,N23.53644,台1線,民雄,嘉義縣市北界,257,386,261,632,平原區,4.20,29.2,北,3.5,3.5,3.5,,,2.0,,2.1,"11,354",142,224,16,168,"7,668","19,572","17,823","82,202","1,775",17,18,0.55 ,四
嘉義縣,V-07,吳鳳工專,260,0,E120.43619,N23.53644,台1線,民雄,嘉義縣市北界,257,386,261,632,平原區,4.20,29.2,南,3.5,3.5,3.5,,,2.0,,2.1,"11,258",151,273,16,178,"7,274","19,150","17,569","80,430","1,479",7,8,0.55 ,四
嘉義市,V-08,後湖,264,300,E120.45036,N23.50000,台1線,嘉義縣市北界,博東路,261,632,265,238,平原區,3.60,32.2,北,3.5,3.5,3.5,,,2.8,,2.8,"19,778",266,196,3,32,"14,437","34,712","30,682","124,963","2,902",17,18,0.56 ,四
嘉義市,V-08,後湖,264,300,E120.45036,N23.50000,台1線,嘉義縣市北界,博東路,261,632,265,238,平原區,3.60,32.2,南,3.5,3.5,3.5,,,2.8,,2.8,"20,778",238,269,7,71,"14,800","36,163","32,133","130,187","3,728",7,8,0.56 ,四
嘉義市,V-09,博愛路,267,600,E120.43871,N23.48060,台1線,博東路,北港路,265,238,267,864,平原區,2.60,21.0,北,3.5,3.5,,,,2.0,,1.5,"7,061",51,79,0,16,"7,718","14,925","12,708","38,805","1,117",17,18,0.56 ,日
嘉義市,V-09,博愛路,267,600,E120.43871,N23.48060,台1線,博東路,北港路,265,238,267,864,平原區,2.60,21.0,南,3.5,3.5,,,,2.0,,1.5,"5,353",64,58,0,4,"5,776","11,255","9,591","29,263",891,17,18,0.56 ,日
嘉義市,V-10,港子坪,269,300,E120.42797,N23.46811,台1線,北港路,嘉義縣市南界,267,864,269,847,平原區,2.00,22.6,北,3.5,3.5,,,,2.4,,1.5,"8,191",88,71,0,22,"6,353","14,725","12,943","29,450","1,143",17,18,0.57 ,六
嘉義市,V-10,港子坪,269,300,E120.42797,N23.46811,台1線,北港路,嘉義縣市南界,267,864,269,847,平原區,2.00,22.6,南,3.5,3.5,,,,2.4,,2.3,"6,364",78,71,0,7,"4,762","11,282","9,942","22,564",865,7,8,0.57 ,六
嘉義縣,V-11,水上,272,400,E120.40892,N23.44582,台1線,嘉義縣市南界,水上,269,847,273,895,平原區,4.00,27.4,北,3.5,3.5,3.5,,,2.5,,0.7,"9,870",96,269,3,55,"5,055","15,348","14,131","61,392","1,577",17,18,0.57 ,四
嘉義縣,V-11,水上,272,400,E120.40892,N23.44582,台1線,嘉義縣市南界,水上,269,847,273,895,平原區,4.00,27.4,南,3.5,3.5,3.5,,,2.5,,0.7,"9,065",107,258,3,55,"4,328","13,816","12,817","55,264","1,203",7,8,0.57 ,四
嘉義縣,V-12,八掌溪橋,277,800,E120.38186,N23.40247,台1線,水上,嘉南縣界,273,895,278,183,平原區,4.30,22.0,北,3.8,3.7,,,,2.8,,0.4,"5,689",46,234,6,68,"1,897","7,940","7,659","34,142",747,17,18,0.51 ,四
嘉義縣,V-12,八掌溪橋,277,800,E120.38186,N23.40247,台1線,水上,嘉南縣界,273,895,278,183,平原區,4.30,22.0,南,3.8,3.7,,,,2.8,,1.0,"5,509",43,254,12,89,"1,982","7,889","7,645","33,923",715,17,18,0.51 ,四
台南市,V-13,卯舍橋,287,711,E120.33866,N23.32330,台1線,嘉南縣界,新營,278,183,289,759,平原區,11.60,19.4,北,3.5,3.5,,,,2.0,,0.7,"6,103",78,187,8,179,"2,746","9,301","8,984","107,892",755,17,18,0.50 ,六
台南市,V-13,卯舍橋,287,711,E120.33866,N23.32330,台1線,嘉南縣界,新營,278,183,289,759,平原區,11.60,19.4,南,3.5,3.5,,,,2.0,,0.7,"6,345",76,134,2,149,"2,822","9,528","9,088","110,525",751,9,10,0.50 ,六
台南市,V-14,新文橋,296,63,E120.2272,N23.25988,台1線,新營,龜子港,289,759,296,725,平原區,7.00,28.0,北,3.5,3.5,,,,2.2,,4.8,"8,284",100,61,3,143,"4,612","13,203","12,192","92,421","1,257",7,8,0.54 ,四
台南市,V-14,新文橋,296,63,E120.2272,N23.25988,台1線,新營,龜子港,289,759,296,725,平原區,7.00,28.0,南,3.5,3.5,,,,2.2,,4.8,"8,241",105,51,7,133,"4,073","12,610","11,747","88,270","1,066",17,18,0.54 ,四
台南市,V-15,隆田橋,303,319,E120.31547,N23.20058,台1線,龜子港,隆田,296,725,304,374,平原區,7.60,31.0,北,3.5,3.5,,,,4.0,,4.5,"5,173",43,54,1,96,"4,622","9,989","8,845","75,916","1,008",7,8,0.54 ,四
台南市,V-15,隆田橋,303,319,E120.31547,N23.20058,台1線,龜子港,隆田,296,725,304,374,平原區,7.60,31.0,南,3.5,3.5,,,,4.0,,4.5,"5,318",47,47,0,107,"3,862","9,381","8,484","71,296",861,17,18,0.54 ,四
台南市,V-16,曾文溪橋,309,820,E120.33916,N23.15722,台1線,隆田,曾文溪橋南端,304,374,310,274,平原區,5.90,25.0,北,3.5,3.5,,,,2.0,,3.5,"6,884",44,348,18,152,"4,418","11,864","11,075","69,998","1,121",7,8,0.54 ,四
台南市,V-16,曾文溪橋,309,820,E120.33916,N23.15722,台1線,隆田,曾文溪橋南端,304,374,310,274,平原區,5.90,25.0,南,3.5,3.5,,,,2.0,,3.5,"6,906",36,299,11,125,"4,235","11,612","10,782","68,511","1,328",7,8,0.54 ,四
台南市,V-17,大營橋,314,800,E120.31842,N23.10917,台1線,曾文溪橋南端,新市,310,274,318,0,平原區,7.70,26.8,北,3.7,3.7,,,,4.5,,1.5,"5,380",93,385,21,355,"4,167","10,401","10,143","80,088","1,146",7,8,0.51 ,四
