縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
澎湖縣,Ⅲ-601,興仁,0,500,119.6094966,23.54834458,201線,興仁,五德,0,0,4,0,平原區,4,16.4,北,3.4,3.5,,,,,,1.2,3785,34,139,0,0,4277,8235,6611,32940,716,7,8,0.51,
澎湖縣,Ⅲ-601,興仁,0,500,119.6094966,23.54834458,201線,興仁,五德,0,0,4,0,平原區,4,16.4,南,3.4,3.5,,,,,,1.2,3818,28,115,0,1,4192,8154,6551,32616,738,17,18,0.51,
澎湖縣,Ⅲ-602,井垵,5,650,119.5755083,23.51940987,201線,五德,風櫃,4,0,10,560,平原區,6.6,15.7,北,3.5,3.5,,,,,,0.6,1431,23,31,0,0,1767,3252,2573,21463,332,17,18,0.54,
澎湖縣,Ⅲ-602,井垵,5,650,119.5755083,23.51940987,201線,五德,風櫃,4,0,10,560,平原區,6.6,15.7,南,3.5,4,,,,,,0.4,1376,18,12,0,0,1787,3193,2493,21074,382,17,18,0.54,
澎湖縣,Ⅲ-603,東衛,0,600,119.6043111,23.56968666,202線,東衛,西溪,0,0,6,0,平原區,6,15.9,東,3.3,3.5,,,,,,1,3185,22,71,0,1,3229,6508,5265,39048,486,17,18,0.54,
澎湖縣,Ⅲ-603,東衛,0,600,119.6043111,23.56968666,202線,東衛,西溪,0,0,6,0,平原區,6,15.9,西,3.3,4,,,,,,0.6,3115,25,101,0,3,3269,6513,5275,39078,569,7,8,0.54,
澎湖縣,Ⅲ-604,南寮,8,400,119.6683518,23.58270661,202線,西溪,裡正角,6,0,12,631,平原區,6.6,18.4,東,3.5,4,,,,,,1,511,13,6,0,0,810,1340,1026,8844,143,17,18,0.56,
澎湖縣,Ⅲ-604,南寮,8,400,119.6683518,23.58270661,202線,西溪,裡正角,6,0,12,631,平原區,6.6,18.4,西,3.5,4,,,,,,1,509,21,7,0,0,798,1335,1031,8811,113,15,16,0.56,
澎湖縣,Ⅲ-605,地方法院,1,0,119.5692481,23.56944028,203線,馬公,潮音寺,0,0,2,500,平原區,2.5,10.8,北,4.8,,,,,,,0.5,1595,142,11,0,0,2601,4349,3202,10872,264,17,18,0.61,
澎湖縣,Ⅲ-605,地方法院,1,0,119.5692481,23.56944028,203線,馬公,潮音寺,0,0,2,500,平原區,2.5,10.8,南,4.8,,,,,,,0.5,1607,132,9,0,0,3353,5101,3566,12752,405,17,18,0.61,
