行政區別,村里別,第7案,第8案,第9案,第10案,第11案,第12案,第13案,第14案,第15案,第16案
　板橋區,,0.769651808,0.74977222,0.767794593,0.695120366,0.654944716,0.608909516,0.474448637,0.357967023,0.365273866,0.579894121
　板橋區,留侯里,0.737446198,0.745923913,0.738461538,0.652925532,0.615068493,0.571623465,0.46866485,0.396870555,0.40509915,0.555059524
　板橋區,流芳里,0.726123596,0.723943662,0.73943662,0.641304348,0.603021978,0.584144645,0.470670391,0.41322314,0.409340659,0.584415584
　板橋區,赤松里,0.767810026,0.739130435,0.727027027,0.623152709,0.584577114,0.579207921,0.541772152,0.423267327,0.433673469,0.546448087
　板橋區,黃石里,0.741339492,0.752358491,0.751724138,0.720588235,0.667377399,0.618336887,0.528784648,0.355895197,0.34375,0.562200957
　板橋區,挹秀里,0.795505618,0.783446712,0.787946429,0.72568306,0.673202614,0.633259912,0.41053787,0.334068357,0.333698031,0.602491506
　板橋區,湳興里,0.774422735,0.745762712,0.74767184,0.688888889,0.643692565,0.600166945,0.481620718,0.366071429,0.382996994,0.581363636
　板橋區,新興里,0.750363901,0.756777108,0.765313653,0.708333333,0.658963585,0.58897418,0.474162011,0.329504666,0.347451543,0.547312642
　板橋區,社後里,0.767500907,0.748617766,0.758810573,0.698287671,0.657534247,0.606174957,0.470608575,0.394960844,0.367579097,0.585714286
　板橋區,香社里,0.76719057,0.747440273,0.75600196,0.702275894,0.65465606,0.611500701,0.50697026,0.365935115,0.369001919,0.566454144
　板橋區,香雅里,0.783413849,0.767768595,0.780608053,0.690799397,0.647421093,0.613653995,0.463925524,0.36627451,0.389060092,0.577682403
　板橋區,中正里,0.772679325,0.736475629,0.76283748,0.698104035,0.646191646,0.59408867,0.508457711,0.370803662,0.380131779,0.587982833
　板橋區,自強里,0.782688766,0.754152824,0.754585473,0.666195691,0.639731828,0.592264017,0.416078984,0.361269615,0.373969165,0.59706422
　板橋區,自立里,0.773001508,0.728723404,0.760869565,0.721751412,0.676890157,0.634887006,0.520655271,0.334801762,0.346153846,0.551380368
　板橋區,光華里,0.782135076,0.745025792,0.759475219,0.66970547,0.639240506,0.611344538,0.439685939,0.386866524,0.385275197,0.598534799
　板橋區,光榮里,0.771148709,0.758251561,0.789893617,0.697068404,0.652350081,0.632768362,0.447390224,0.351419032,0.364853556,0.599300087
　板橋區,國光里,0.826592518,0.827728919,0.845955693,0.722855726,0.686663361,0.640656064,0.327983952,0.311122244,0.318455366,0.665975104
　板橋區,港尾里,0.780330223,0.779203241,0.7746676,0.713120326,0.668695064,0.602608099,0.426989619,0.4045961,0.349488055,0.599270073
　板橋區,新生里,0.765778401,0.728424015,0.765165441,0.715302491,0.648413733,0.607982262,0.495310406,0.357077626,0.359944624,0.57081749
　板橋區,金華里,0.776726058,0.76457011,0.772752652,0.706153846,0.658611825,0.619195046,0.498958333,0.356951154,0.361126151,0.595936795
　板橋區,港德里,0.772329247,0.735708004,0.747281427,0.71659751,0.663625052,0.619700748,0.508114856,0.344416027,0.369098712,0.557059089
　板橋區,民權里,0.777138158,0.764459346,0.784377543,0.717735849,0.674366617,0.64469697,0.466887417,0.342879257,0.348801237,0.601821192
　板橋區,民安里,0.799612778,0.784660767,0.798058252,0.693518519,0.664179104,0.641121495,0.444949955,0.359389895,0.362773029,0.608565737
　板橋區,建國里,0.748126801,0.71227246,0.725,0.703506908,0.649757151,0.613920609,0.507901907,0.367829021,0.385310734,0.540718563
　板橋區,漢生里,0.780821918,0.773333333,0.789738431,0.683756588,0.658806545,0.613547758,0.450454763,0.321484579,0.354918438,0.604428787
　板橋區,公舘里,0.755668934,0.739624787,0.749152542,0.696565864,0.655046826,0.6,0.522372529,0.375531915,0.374799786,0.571995465
　板橋區,新民里,0.775291829,0.751488095,0.772219524,0.715213358,0.665273909,0.617358843,0.453574745,0.331291235,0.348727615,0.591493571
　板橋區,幸福里,0.756924816,0.736660929,0.800336511,0.706289979,0.655339806,0.596652268,0.52173913,0.36123348,0.372105843,0.549099361
　板橋區,文德里,0.784615385,0.756610169,0.787191461,0.712302839,0.663918833,0.621106167,0.461290323,0.348837209,0.35821873,0.57941377
　板橋區,忠誠里,0.834192037,0.81291866,0.825352113,0.715198539,0.691780822,0.650960659,0.310773481,0.316620241,0.315043439,0.633110687
　板橋區,陽明里,0.752225519,0.735089078,0.750185322,0.704702628,0.669680111,0.610875706,0.504201681,0.352857143,0.364680546,0.564954683
　板橋區,百壽里,0.782575758,0.764481707,0.764750378,0.714081487,0.676300578,0.630747126,0.474219317,0.340724316,0.360594796,0.574102964
　板橋區,介壽里,0.762605042,0.738112136,0.766032417,0.714756258,0.68,0.623755806,0.451227605,0.356173677,0.355723098,0.589031339
　板橋區,新埔里,0.740295749,0.704779756,0.75582479,0.705172414,0.662629758,0.641247834,0.474978051,0.342342342,0.389162562,0.579342723
　板橋區,華江里,0.774427021,0.757897934,0.790211877,0.675675676,0.646973646,0.618671349,0.483917705,0.355877141,0.370294118,0.556534954
　板橋區,江翠里,0.753802281,0.722248919,0.760093897,0.689141856,0.550858653,0.60761736,0.496418979,0.378684807,0.384084637,0.561754888
　板橋區,純翠里,0.749560633,0.738137083,0.795285901,0.683829445,0.656887755,0.584023179,0.491796555,0.372287145,0.391285956,0.588674276
　板橋區,溪頭里,0.772541744,0.749624625,0.776335312,0.689428076,0.650782609,0.619433198,0.494834711,0.366690493,0.368383147,0.582499073
　板橋區,聯翠里,0.774623407,0.740373396,0.768656716,0.680087051,0.652551574,0.608456892,0.446692182,0.364091162,0.398586188,0.561988304
　板橋區,文化里,0.731548008,0.703851262,0.720674012,0.679164106,0.630381304,0.595282433,0.495945103,0.378893833,0.383279743,0.589451176
　板橋區,宏翠里,0.765054745,0.751923947,0.761713521,0.698000851,0.628571429,0.613520408,0.468926554,0.37345679,0.380194518,0.606796117
　板橋區,仁翠里,0.735714286,0.706041479,0.730973451,0.700249792,0.659698997,0.596548891,0.511627907,0.351788756,0.37585034,0.551360843
